customer_id,cardholder_role,risk_tier,churn_risk_score,churn_flag
SME167500,business_owner,high_risk,0.8062150061606435,1
SME124276,business_owner,high_risk,0.8044416158758801,1
SME188272,business_owner,high_risk,0.7965827764319158,0
SME194277,business_owner,high_risk,0.7955326487217498,1
SME159249,business_owner,high_risk,0.7902487693587805,0
SME140995,business_owner,high_risk,0.7884448429143304,0
SME134426,business_owner,high_risk,0.7850213731255848,1
SME114231,business_owner,high_risk,0.7788824191988958,0
SME121724,business_owner,high_risk,0.7786180581294118,1
SME185747,business_owner,high_risk,0.7780115692194375,0
SME145947,business_owner,high_risk,0.7779326111752767,1
SME139574,business_owner,high_risk,0.777658271384484,0
SME103650,business_owner,high_risk,0.7762757294117089,1
SME104284,business_owner,high_risk,0.77601589749491,1
SME143260,business_owner,high_risk,0.7749581131951107,1
SME111216,business_owner,high_risk,0.7748130687041012,0
SME168313,business_owner,high_risk,0.7741689489814697,1
SME174689,business_owner,high_risk,0.7736310061174355,0
SME140007,business_owner,high_risk,0.7725603406035143,0
SME196755,business_owner,high_risk,0.7713648318097939,1
SME112684,business_owner,high_risk,0.7712184114327004,1
SME164959,business_owner,high_risk,0.7710088374674323,0
SME138907,business_owner,high_risk,0.7710055227007001,0
SME198479,business_owner,high_risk,0.7709997825506055,0
SME143849,business_owner,high_risk,0.7708323668650592,1
SME158759,business_owner,high_risk,0.7702953891009453,0
SME157410,business_owner,high_risk,0.7700207356722067,1
SME143131,business_owner,high_risk,0.7694830853180632,1
SME102518,business_owner,high_risk,0.7693644223889518,1
SME106552,business_owner,high_risk,0.7689492976685319,1
SME177778,business_owner,high_risk,0.7687683236472148,0
SME147234,business_owner,high_risk,0.7683492037405331,0
SME195143,business_owner,high_risk,0.7670359911521285,1
SME158348,business_owner,high_risk,0.7669894062457713,0
SME113400,business_owner,high_risk,0.766810809438197,0
SME182188,business_owner,high_risk,0.7665669140977325,0
SME140790,business_owner,high_risk,0.7663214827260711,1
SME132820,business_owner,high_risk,0.7662524546698498,1
SME181770,business_owner,high_risk,0.7660200881744529,1
SME156833,business_owner,high_risk,0.7656085901007009,0
SME164870,business_owner,high_risk,0.7655102824553175,0
SME150475,business_owner,high_risk,0.7648598045844949,0
SME173892,business_owner,high_risk,0.7646086374943334,0
SME102156,business_owner,high_risk,0.7645269794506263,0
SME100964,business_owner,high_risk,0.7643057890204513,0
SME175703,business_owner,high_risk,0.7642273127304252,1
SME112909,business_owner,high_risk,0.7640693454501545,0
SME196908,business_owner,high_risk,0.7636428145197834,0
SME172035,business_owner,high_risk,0.7635835760593284,0
SME130560,business_owner,high_risk,0.7635099466031918,0
SME163726,business_owner,high_risk,0.7632131525110408,0
SME186996,business_owner,high_risk,0.7631133806653991,0
SME101210,business_owner,high_risk,0.7629186196533868,1
SME151969,business_owner,high_risk,0.7626933823557784,0
SME117968,business_owner,high_risk,0.7625422510240593,0
SME143501,business_owner,high_risk,0.7620155668760882,1
SME106740,business_owner,high_risk,0.7615371644269684,0
SME179913,business_owner,high_risk,0.7607639150810936,1
SME198340,business_owner,medium_risk,0.760554059229316,1
SME134692,business_owner,high_risk,0.7599040696690663,0
SME103656,business_owner,high_risk,0.7593937470111917,1
SME171590,business_owner,high_risk,0.7590718516643983,1
SME141191,business_owner,high_risk,0.7589373552688161,1
SME136392,business_owner,high_risk,0.7586675991331188,0
SME197244,business_owner,high_risk,0.7585317951579603,0
SME105415,business_owner,high_risk,0.7582776575145255,1
SME111519,business_owner,high_risk,0.758042688470677,1
SME171391,business_owner,high_risk,0.7579380641927789,0
SME174464,business_owner,high_risk,0.7577976833831074,1
SME124105,business_owner,high_risk,0.757686699736122,1
SME125292,business_owner,high_risk,0.7572185051399015,0
SME141079,business_owner,high_risk,0.75710772865239,0
SME119013,business_owner,high_risk,0.756827375557979,1
SME156344,business_owner,high_risk,0.756754851454381,0
SME143834,business_owner,high_risk,0.756614256270549,0
SME113706,business_owner,high_risk,0.7564526895459931,1
SME159049,business_owner,high_risk,0.7562972865248334,1
SME144008,business_owner,high_risk,0.7562415128944877,0
SME177649,business_owner,medium_risk,0.7558554491686905,1
SME135013,business_owner,high_risk,0.7557731244154772,1
SME107964,business_owner,high_risk,0.7555829773427156,0
SME137750,business_owner,high_risk,0.755556902557213,1
SME174425,business_owner,high_risk,0.755537998253776,1
SME108882,business_owner,high_risk,0.7554756157668188,0
SME102252,business_owner,high_risk,0.7554143061939522,1
SME186078,business_owner,high_risk,0.7553849773286357,0
SME175989,business_owner,high_risk,0.7552399957265137,1
SME163823,business_owner,high_risk,0.7550555726491933,1
SME157950,business_owner,high_risk,0.7550183972502826,0
SME166656,business_owner,high_risk,0.754987982931542,0
SME160594,business_owner,high_risk,0.754908336245239,1
SME166435,business_owner,high_risk,0.7547778425307533,0
SME151151,business_owner,high_risk,0.7547452903937265,1
SME146935,business_owner,high_risk,0.7546364502071745,0
SME107268,business_owner,high_risk,0.7544862439272475,1
SME181899,business_owner,high_risk,0.7543609135000584,0
SME197340,business_owner,high_risk,0.7542724822220186,0
SME133307,business_owner,high_risk,0.7541886681500564,0
SME152963,business_owner,high_risk,0.7541677797933318,0
SME124219,business_owner,high_risk,0.7541522555945189,0
SME161641,business_owner,high_risk,0.7540218965716174,1
SME161524,business_owner,high_risk,0.7537784994833763,0
SME118522,business_owner,high_risk,0.7537261003203098,0
SME154010,business_owner,high_risk,0.7534209560283354,1
SME119813,business_owner,high_risk,0.7533609263083789,1
SME124746,business_owner,high_risk,0.7533311293844429,0
SME186663,business_owner,high_risk,0.7531720909962516,0
SME188951,business_owner,high_risk,0.7530273220321362,0
SME112330,business_owner,high_risk,0.7527418498344414,0
SME135360,business_owner,high_risk,0.7525092452752593,0
SME121775,business_owner,high_risk,0.7523209945575587,1
SME199058,business_owner,high_risk,0.7521831627931013,0
SME128273,business_owner,high_risk,0.7521597471264329,1
SME109044,business_owner,high_risk,0.7521431044877154,0
SME107567,business_owner,high_risk,0.7520988596718539,0
SME171287,business_owner,high_risk,0.7519607596834547,0
SME118739,business_owner,high_risk,0.7519388109812196,1
SME127418,business_owner,high_risk,0.751843480180558,0
SME153314,business_owner,high_risk,0.7517967251811569,1
SME183030,business_owner,high_risk,0.7517398154073603,0
SME112847,business_owner,high_risk,0.7517179046731699,0
